coverage,mae_risk_eV,oracle_mae_risk_eV
0.26392961876832843,0.10172975025538877,0.03142085530794763
0.2649071358748778,0.1071495566095168,0.03153173628493794
0.26588465298142716,0.10684469188057005,0.031645187213275236
0.2668621700879765,0.10669439938831204,0.03175799865862298
0.2678396871945259,0.10678011616162549,0.031870001873499934
0.26881720430107525,0.10677955723342572,0.031982315234469524
0.2697947214076246,0.10805659516041363,0.03209411263974525
0.270772238514174,0.10780358865185963,0.03220546041734953
0.27174975562072334,0.10756786666962624,0.032319883391606255
0.2727272727272727,0.10742395114188767,0.03243358981168478
0.27370478983382207,0.10752614010925424,0.03254680689381212
0.27468230694037143,0.1075466016482148,0.0326592608294593
0.2756598240469208,0.10750192837132942,0.032770954893841145
0.27663734115347016,0.10714950881111558,0.03288259191977903
0.2776148582600195,0.10705029159891011,0.03299360731785216
0.2785923753665689,0.10713014824493045,0.033104041910668396
0.27956989247311825,0.10721791437506242,0.0332137348943391
0.2805474095796676,0.14277623175108006,0.03332447870050018
0.28152492668621704,0.14283729778462786,0.03343458121713878
0.2825024437927664,0.14234635885815322,0.03354626965388659
0.28347996089931576,0.14231681476900568,0.03365754059126675
0.2844574780058651,0.14203231127646182,0.03377000097193585
0.2854349951124145,0.14188357830484968,0.033882099723310334
0.28641251221896386,0.14191418508720954,0.033995111011379905
0.2873900293255132,0.14204249718109344,0.03410848685881765
0.2883675464320626,0.14256570476144567,0.034221273156863685
0.28934506353861195,0.14305774312428438,0.03433341559359916
0.2903225806451613,0.14280293740596153,0.03444531344806744
0.2913000977517107,0.14293474952207716,0.034557052861899897
0.29227761485826004,0.142860837370196,0.0346687201667192
0.2932551319648094,0.14253088493071986,0.03478008485450781
0.29423264907135877,0.14256349226165352,0.03489118921020242
0.29521016617790813,0.14218870065694636,0.035001660907287034
0.2961876832844575,0.14262622158334562,0.03511172706674056
0.29716520039100686,0.14236809910111467,0.03522126852411327
0.2981427174975562,0.1421842561280457,0.03533240975193468
0.2991202346041056,0.14205188307669442,0.035443710525059464
0.30009775171065495,0.14355052926087417,0.035554479961608924
0.3010752688172043,0.14452381413684595,0.03566475967678452
0.3020527859237537,0.14504073150654714,0.035774530215745746
0.30303030303030304,0.14462722334577596,0.03588404174406053
0.3040078201368524,0.14510940821941512,0.03599343455855762
0.30498533724340177,0.1451116034887998,0.03610379169281085
0.30596285434995113,0.14497513224574562,0.03621417308721364
0.3069403714565005,0.1447348312902996,0.03632397576633221
0.30791788856304986,0.1448213807337799,0.03643394212185801
0.3088954056695992,0.14463063392885206,0.036543854992815684
0.3098729227761486,0.1441923329388003,0.036653441793132846
0.31085043988269795,0.14378148754849118,0.03676252821545554
0.3118279569892473,0.1435050086746234,0.03687109592848887
0.3128054740957967,0.14362216622391993,0.03697920988398724
0.31378299120234604,0.14326436510282334,0.0370882382553508
0.3147605083088954,0.14290000011638668,0.03719786226262423
0.31573802541544477,0.14281429131837828,0.037308169400500475
0.31671554252199413,0.1428247600523791,0.0374189301352361
0.3176930596285435,0.14282565440200948,0.03753113970528084
0.31867057673509286,0.14294574597823814,0.037643767601394124
0.3196480938416422,0.1425360418541528,0.037757089818267246
0.3206256109481916,0.14216388694650967,0.037871532819594336
0.32160312805474095,0.14182524182134829,0.037986850733982176
0.3225806451612903,0.14152599258253235,0.03810198327725696
0.3235581622678397,0.14188477548348863,0.03821704291495805
0.32453567937438904,0.1418418063236786,0.038332434313332546
0.3255131964809384,0.14253633306010915,0.03844722553561474
0.32649071358748777,0.14219008745007802,0.03856141855815139
0.32746823069403713,0.14205599969449825,0.03867494075356096
0.3284457478005865,0.14173834459675747,0.038788718466714264
0.32942326490713586,0.142056783678329,0.03890189365979032
0.3304007820136852,0.1423508381693941,0.03901443570746441
0.3313782991202346,0.14213226236868717,0.03912748346642798
0.33235581622678395,0.14203395994250229,0.03924129592973796
0.3333333333333333,0.14223944549979836,0.03935472792914453
0.3343108504398827,0.14204521064936967,0.03946797525178548
0.33528836754643204,0.14175673840312125,0.03958169792031707
0.3362658846529814,0.14362554834303773,0.03969570059354926
0.33724340175953077,0.1451057332872636,0.03980954441949479
0.33822091886608013,0.14531069059246818,0.039924690069778716
0.3391984359726295,0.14489304059782468,0.04004009224849752
0.34017595307917886,0.16101128946307153,0.04015497016334381
0.3411534701857282,0.16057137613847547,0.040269667484485266
0.3421309872922776,0.16129740714701127,0.040384459115446476
0.34310850439882695,0.16140687637546833,0.04050159595699581
0.34408602150537637,0.16108073314458357,0.040618096862680496
0.34506353861192574,0.16093377776078122,0.040734555894878524
0.3460410557184751,0.1608089957241333,0.040852836500650455
0.34701857282502446,0.16067390850753158,0.0409707873280745
0.3479960899315738,0.1606851968007656,0.04108809243672854
0.3489736070381232,0.16076636059315114,0.04120583733602157
0.34995112414467255,0.16038944009721692,0.04132295564400883
0.3509286412512219,0.16014316677408177,0.04143945812672548
0.3519061583577713,0.16608879396365753,0.04155577223049599
0.35288367546432065,0.16568833027113875,0.0416722408348782
0.35386119257087,0.1663923964873464,0.04178855458920325
0.3548387096774194,0.16899878924366485,0.04190424192746347
0.35581622678396874,0.16868939908033234,0.04201940815356921
0.3567937438905181,0.16903195244855967,0.042134725234410184
0.35777126099706746,0.16866420898858966,0.04225028367368364
0.3587487781036168,0.16863148450833831,0.042365529196034896
0.3597262952101662,0.17018771109485697,0.04248189267208197
0.36070381231671556,0.1708355905615755,0.04259783790905891
0.3616813294232649,0.1710399500363018,0.04271391642191575
0.3626588465298143,0.17102853477927882,0.042830211411082966
0.36363636363636365,0.1709431391365485,0.04294622799421035
0.364613880742913,0.17139046097986538,0.04306171214699159
0.3655913978494624,0.17098245616646576,0.043176870957457654
0.36656891495601174,0.17078407764649647,0.043291855281077984
0.3675464320625611,0.17045246808979353,0.04340694815219276
0.36852394916911047,0.17024018412013286,0.04352155963234034
0.36950146627565983,0.16988189849926422,0.04363567369210654
0.3704789833822092,0.16977719906797148,0.04374961575131809
0.37145650048875856,0.16982569163825997,0.043863436295562115
0.3724340175953079,0.1718179229868805,0.04397763220538862
0.3734115347018573,0.17142915995419908,0.04409215460199179
0.37438905180840665,0.1712049242563189,0.04420616014605736
0.375366568914956,0.17103034405860704,0.04432058749403243
0.3763440860215054,0.17084459649499145,0.04443552553963247
0.37732160312805474,0.17059341111650647,0.04455063527647508
0.3782991202346041,0.17164712114195313,0.04466517765471548
0.37927663734115347,0.1712185819646127,0.044782437014426135
0.38025415444770283,0.1707952739365161,0.04489976085636264
0.3812316715542522,0.17041602837341577,0.04501734560112595
0.38220918866080156,0.1702022270582236,0.04513449305668597
0.3831867057673509,0.1749528573267266,0.04525238351360251
0.3841642228739003,0.1745206228232606,0.04536986824794162
0.38514173998044965,0.17411879551439735,0.04548759619894196
0.386119257086999,0.17392298785039467,0.04560641784785011
0.3870967741935484,0.17379308679848138,0.04572470839700636
0.38807429130009774,0.17370433728255372,0.04584571074798574
0.3890518084066471,0.17433276909810966,0.0459662487826913
0.39002932551319647,0.17402835000548617,0.04608642699786799
0.39100684261974583,0.1739633720652671,0.046206113340796585
0.3919843597262952,0.17370777154063544,0.046327233865055766
0.39296187683284456,0.17345773889365584,0.046448182879238555
0.3939393939393939,0.1730858127605278,0.046570062957117665
0.3949169110459433,0.1729119108688295,0.04669164276994683
0.39589442815249265,0.17255174100407963,0.046813154464822614
0.396871945259042,0.17252739618993004,0.04693412381091938
0.3978494623655914,0.17228592306375876,0.04705576551899224
0.39882697947214074,0.1728770738656656,0.04717717420933292
0.3998044965786901,0.1725748463634398,0.04729843972039408
0.40078201368523947,0.17743325854262745,0.04741954113510584
0.40175953079178883,0.17713819437174894,0.04754012202626101
0.4027370478983382,0.17840357005029583,0.047660827286709055
0.40371456500488756,0.17854615046522568,0.04778242976426863
0.4046920821114369,0.1793338430776175,0.047905183034320425
0.4056695992179863,0.17922491083948575,0.048029256065241846
0.4066471163245357,0.17900597177921893,0.04815294787781098
0.40762463343108507,0.17909805917139365,0.04827612433869539
0.40860215053763443,0.17898290247010454,0.04839902554469237
0.4095796676441838,0.17883942837313493,0.048523606369117935
0.41055718475073316,0.1785409673056322,0.04864790143838103
0.4115347018572825,0.17815159260135616,0.04877386391100852
0.4125122189638319,0.17780361633385253,0.048899911838279964
0.41348973607038125,0.17752375144064572,0.04902638037864535
0.4144672531769306,0.17770045537366574,0.04915319727468468
0.41544477028348,0.17738927712393548,0.049279494336425235
0.41642228739002934,0.17711398626655508,0.04940592722070927
0.4173998044965787,0.17709632422572227,0.04953257900623142
0.41837732160312807,0.17673746880240146,0.04965960223231548
0.41935483870967744,0.17653842470768252,0.0497866570717156
0.4203323558162268,0.17655069994363579,0.049915897872442425
0.42130987292277616,0.17617004630372055,0.050045041728083765
0.4222873900293255,0.17583831061803434,0.05017437896778115
0.4232649071358749,0.17593214415315173,0.05030369741900094
0.42424242424242425,0.17556377041075785,0.05043347325653018
