evidence_tier,evidence_label,feature,block,defecttype,q10,q90,predicted_low_error_eV,predicted_high_error_eV,contrast_eV,percent_contrast,ci_low_eV,ci_high_eV,bootstrap_p,fold_signs,same_direction_folds,xf_le_2_same_direction,nuisance_control_same_direction,bh_q,paper_effect_gate
canonical,CANONICAL — REPAIRED G2 OOF,local_signed_covalent_radius_mismatch_A,chemistry,adsorbate,-0.29515789473684184,0.7699999999999997,0.17385356293293364,0.1346609261390323,-0.039192636793901336,-22.543476321518025,-0.1979432456416829,0.11572120693499414,0.545727136431784,-1|1|1|-1|-1,3,1,0,0.7118180040414575,0
canonical,CANONICAL — REPAIRED G2 OOF,local_abs_covalent_radius_mismatch_A,chemistry,adsorbate,0.039999999999999813,0.8200000000000003,0.16149752915404425,0.1422338476479375,-0.019263681506106745,-11.928158657914885,-0.053305942043672117,0.01471472092046776,0.25487256371814093,-1|1|-1|-1|-1,4,1,0,0.4247876061969016,0
canonical,CANONICAL — REPAIRED G2 OOF,local_signed_electronegativity_mismatch,chemistry,adsorbate,-1.306,0.4454285714285716,0.26694026310774294,0.08187371290884067,-0.18506655019890228,-69.32882587450113,-0.38388768845308757,-0.02682317900497194,0.022988505747126436,-1|1|-1|-1|-1,4,1,0,0.0624687656171914,0
canonical,CANONICAL — REPAIRED G2 OOF,local_signed_valence_mismatch,chemistry,adsorbate,-4.076923076923077,5.0,0.0694296824275829,0.386071956994526,0.3166422745669431,456.06182182557126,0.046678258937594516,0.8282841559706591,0.014992503748125937,1|1|1|1|1,5,1,1,0.04497751124437781,1
canonical,CANONICAL — REPAIRED G2 OOF,local_abs_valence_mismatch,chemistry,adsorbate,0.5,5.333333333333333,0.15719990023500247,0.15461364325863974,-0.002586256976362722,-1.6452026830147188,-0.023770321673756,0.018804449031336677,0.8135932033983009,-1|1|-1|-1|1,3,1,0,0.8717070036410366,0
canonical,CANONICAL — REPAIRED G2 OOF,cn_5A,geometry,interstitial,12.0,24.0,0.25595384767384605,0.36197054695627096,0.10601669928242491,41.420240502701354,-0.12985815613253526,0.26709590506342995,0.45977011494252873,1|1|1|1|-1,4,1,0,0.6269592476489028,0
canonical,CANONICAL — REPAIRED G2 OOF,e_module_effective_mean_distance_A,geometry,interstitial,3.364027253786723,3.841930227279663,0.3021618949402568,0.30711492219039627,0.004953027250139463,1.63919651454356,-0.11516788625744748,0.17576563234629192,0.8835582208895553,-1|1|-1|1|1,3,0,1,0.9065467266366817,0
canonical,CANONICAL — REPAIRED G2 OOF,e_module_effective_max_distance_A,geometry,interstitial,4.257303714752197,4.979137992858886,0.2426266592216475,0.32921425339243554,0.08658759417078804,35.687584558334706,0.04059158907409918,0.12872744752581067,0.0009995002498750624,1|1|1|-1|1,4,1,1,0.0074962518740629685,1
canonical,CANONICAL — REPAIRED G2 OOF,smooth_cn_5A,geometry,interstitial,2.688477542151038,5.471152993853971,0.2920203783720909,0.3185489540071748,0.02652857563508393,9.084494644850214,-0.14738347191878515,0.29421883066422627,0.783608195902049,1|1|-1|-1|1,3,1,1,0.8706757732244989,0
canonical,CANONICAL — REPAIRED G2 OOF,neighbor_distance_std_A,geometry,interstitial,0.6421419869080652,1.0322033839062188,0.3746972229359593,0.2718090140786357,-0.10288820885732358,-27.459026264229486,-0.20668768811043334,-0.031447047389752576,0.00399800099950025,-1|-1|-1|1|-1,4,1,1,0.014992503748125937,1
canonical,CANONICAL — REPAIRED G2 OOF,postrelaxation_min_clearance_A,geometry,interstitial,-0.7578256236706723,0.052365139878685636,0.26246911642799065,0.35390178317486726,0.09143266674687661,34.83559056059896,0.03915083094927708,0.14536780880793443,0.001999000499750125,1|1|-1|1|1,4,1,1,0.009995002498750625,1
canonical,CANONICAL — REPAIRED G2 OOF,depth_boundary_distance,geometry,interstitial,0.21870131561319073,0.999979770502823,0.3440463619639254,0.3035436403329683,-0.040502721630957084,-11.772460374164325,-0.08696396848666414,-0.00030608903123857813,0.047976011994003,1|-1|-1|-1|-1,4,1,1,0.09795102448775612,0
canonical,CANONICAL — REPAIRED G2 OOF,abs_log_extension_factor,geometry,interstitial,0.037400531466640706,0.5851234391904315,0.28370109084182127,0.4263099854922851,0.14260889465046384,50.26730571507602,0.10181824558420546,0.18979831513558065,0.0009995002498750624,1|-1|1|1|1,4,1,0,0.0074962518740629685,0
canonical,CANONICAL — REPAIRED G2 OOF,e_module_effective_abs_electronegativity_contrast,chemistry,interstitial,0.019792210655052125,0.3207002886841377,0.33650157012722226,0.25274277247801025,-0.08375879764921201,-24.89105700682022,-0.23899113341607467,0.08553951046912138,0.3288355822088955,-1|-1|-1|-1|1,4,1,1,0.49325337331334324,0
canonical,CANONICAL — REPAIRED G2 OOF,local_abs_electronegativity_contrast,chemistry,interstitial,0.07981818181818162,1.2621714285714287,0.23734179095985902,0.45716116286631486,0.21981937190645584,92.61722135720856,0.02868248309440364,0.44734320315317566,0.02498750624687656,1|1|1|1|1,5,1,1,0.0624687656171914,0
canonical,CANONICAL — REPAIRED G2 OOF,local_signed_covalent_radius_mismatch_A,chemistry,interstitial,-0.6478947368421051,0.48854545454545534,0.25605117767682967,0.3476343788724332,0.09158320119560354,35.76753757844208,-0.2514910912981291,0.3432990322948617,0.6056971514242878,-1|1|1|-1|-1,2,1,1,0.7571214392803598,0
canonical,CANONICAL — REPAIRED G2 OOF,local_abs_covalent_radius_mismatch_A,chemistry,interstitial,0.041952941176470575,0.7457894736842103,0.3289291898558031,0.2553508160242146,-0.0735783738315885,-22.36906182265064,-0.13571200217157434,-0.013397600180267763,0.013993003498250875,-1|-1|-1|-1|-1,5,1,1,0.04497751124437781,1
canonical,CANONICAL — REPAIRED G2 OOF,local_signed_electronegativity_mismatch,chemistry,interstitial,-1.1024444444444443,0.7337373737373752,0.47547219229530374,0.16661337189884307,-0.3088588203964607,-64.95833518790438,-0.6317380005808353,-0.018442841266824203,0.035982008995502246,-1|1|1|-1|-1,3,1,1,0.08303540537423594,0
canonical,CANONICAL — REPAIRED G2 OOF,local_signed_valence_mismatch,chemistry,interstitial,-4.2727272727272725,4.301538461538463,0.17834728113915282,0.5943469139367256,0.41599963279757274,233.25257897988095,0.004741479336729072,1.1066164719316183,0.04897551224387806,-1|1|1|1|1,4,1,1,0.09795102448775612,0
canonical,CANONICAL — REPAIRED G2 OOF,local_abs_valence_mismatch,chemistry,interstitial,0.4285714285714288,5.0,0.270563565488549,0.3599885069081918,0.0894249414196428,33.05136124229096,0.03345559186558575,0.15029193530748536,0.0029985007496251873,1|1|1|1|1,5,1,1,0.012850717498393659,1
