evidence_tier,evidence_label,sample_index,raw_row_id,host,dopant,defecttype,common_pair_fold_stratum,host_oof_fold,impurity_oof_fold,host_identity_novelty,impurity_identity_novelty,host_identity_novelty_robust_z,impurity_identity_novelty_robust_z,novelty_gap,host_minus_impurity_absolute_error_eV
canonical,CANONICAL — REPAIRED G2 OOF,7991,13437,TaS2,Nb,adsorbate,0,4,4,0.00010407586548808468,0.7021696260983387,-0.9061170471335233,-0.43067368086887625,-0.475443366264647,-0.6149417554191197
canonical,CANONICAL — REPAIRED G2 OOF,7992,13439,SnS2,Ca,adsorbate,2,0,0,1.9143929162778401,0.7208470356901813,0.006638916851063596,-0.3830460869679003,0.3896850038189639,5.424245675404866
canonical,CANONICAL — REPAIRED G2 OOF,7993,13440,TaS2,Br,adsorbate,3,4,0,0.00010407586548808468,0.790787977276079,-0.9061170471335233,-0.2046959390780192,-0.7014211080555041,-0.12339051564534498
canonical,CANONICAL — REPAIRED G2 OOF,7994,13442,TaSe2,C,interstitial,2,0,0,1.4056901068448444,1.019916918998954,-0.235916706628235,0.37958530900810106,-0.615502015636336,-1.0342545111974077
canonical,CANONICAL — REPAIRED G2 OOF,7995,13444,TaS2,I,adsorbate,0,4,2,0.00010407586548808468,1.2451740975896939,-0.9061170471335233,0.9539935197636779,-1.8601105668972011,0.11660826206207286
canonical,CANONICAL — REPAIRED G2 OOF,7996,13445,TaS2,Ca,adsorbate,4,4,0,0.00010407586548808468,0.7208470356901813,-0.9061170471335233,-0.3830460869679003,-0.5230709601656229,0.41918389002482104
canonical,CANONICAL — REPAIRED G2 OOF,7997,13448,ZrS2,Al,adsorbate,0,0,2,1.852521196202753,1.3439302346257356,-0.02286226411405961,1.2058227237468677,-1.2286849878609274,-0.35627480347951257
canonical,CANONICAL — REPAIRED G2 OOF,7998,13449,TaSe2,Ag,adsorbate,3,0,3,1.4056901068448444,0.8291718164507014,-0.235916706628235,-0.1068167393110598,-0.1290999673171752,-0.1648890574773152
canonical,CANONICAL — REPAIRED G2 OOF,7999,13450,ZrS2,Pt,adsorbate,2,0,4,1.852521196202753,0.507701781223877,-0.02286226411405961,-0.9265687618721891,0.9037064977581295,-1.2879566926320565
canonical,CANONICAL — REPAIRED G2 OOF,8000,13451,ZrS2,H,interstitial,3,0,0,1.852521196202753,2.1128262355237384,-0.02286226411405961,3.166515736489311,-3.1893780006033703,0.20547819137573242
canonical,CANONICAL — REPAIRED G2 OOF,8001,13452,Re4Se8,Ir,adsorbate,3,3,2,1.6038662339006777,0.5673773703872499,-0.14142394353475385,-0.7743953722755963,0.6329714287408424,-0.7607020487756309
canonical,CANONICAL — REPAIRED G2 OOF,8002,13455,Re4Se8,Y,interstitial,3,3,2,1.6038662339006777,1.098536754345055,-0.14142394353475385,0.5800667286617716,-0.7214906721965254,-0.06918608920452352
