evidence_tier,evidence_label,sample_index,raw_row_id,defecttype,env_zero_neighbor_mode,oof_inference_batch_size,model_edge_zero_defect_neighbor_5A,e_module_oof_batch_activation_verified,legacy_zero_neighbor_oof_batch_evidence,legacy_zero_neighbor_min_positive_defect_edge_rows,legacy_zero_neighbor_min_total_defect_center_edges,zero_neighbor_imputed_features,remaining_missing_features,outcome_finite,primary_analysis_included
canonical,CANONICAL — REPAIRED G2 OOF,70,98,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,71,99,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,72,102,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,73,103,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,74,104,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,75,106,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,76,109,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,77,110,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,78,112,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,79,115,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,80,116,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,81,118,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,82,121,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,83,122,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,84,124,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,85,125,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,86,127,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,87,128,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,88,130,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,89,133,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,90,135,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,91,136,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,92,137,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,94,139,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,95,140,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,96,141,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,97,143,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,98,146,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,99,147,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,100,148,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
