model,regime,n_folds,validation_mae_mean,validation_mae_std,validation_mae_ci_low,validation_mae_ci_high,validation_mae_n,validation_mae_n_defined,validation_mae_interval_status,validation_rmse_mean,validation_rmse_std,validation_rmse_ci_low,validation_rmse_ci_high,validation_rmse_n,validation_rmse_n_defined,validation_rmse_interval_status,validation_bias_mean,validation_bias_std,validation_bias_ci_low,validation_bias_ci_high,validation_bias_n,validation_bias_n_defined,validation_bias_interval_status,validation_spearman_mean,validation_spearman_std,validation_spearman_ci_low,validation_spearman_ci_high,validation_spearman_n,validation_spearman_n_defined,validation_spearman_interval_status,validation_r2_mean,validation_r2_std,validation_r2_ci_low,validation_r2_ci_high,validation_r2_n,validation_r2_n_defined,validation_r2_interval_status,test_mae_mean,test_mae_std,test_mae_ci_low,test_mae_ci_high,test_mae_n,test_mae_n_defined,test_mae_interval_status,test_rmse_mean,test_rmse_std,test_rmse_ci_low,test_rmse_ci_high,test_rmse_n,test_rmse_n_defined,test_rmse_interval_status,test_bias_mean,test_bias_std,test_bias_ci_low,test_bias_ci_high,test_bias_n,test_bias_n_defined,test_bias_interval_status,test_spearman_mean,test_spearman_std,test_spearman_ci_low,test_spearman_ci_high,test_spearman_n,test_spearman_n_defined,test_spearman_interval_status,test_r2_mean,test_r2_std,test_r2_ci_low,test_r2_ci_high,test_r2_n,test_r2_n_defined,test_r2_interval_status
descriptor:lightgbm,id_repeat,5,0.5780924113336037,0.023441606881274786,0.5569236257664022,0.5893115741574018,5,5,estimated,1.062677629913998,0.12352063427287854,0.9527780480072379,1.1491273461156863,5,5,estimated,-0.018588914639608677,0.05108791971462997,-0.05400795531145406,0.026147088369868503,5,5,estimated,0.9491587801583419,0.004344011564147729,0.9463467019281874,0.9530558165469831,5,5,estimated,0.8891565182439998,0.020074849503211586,0.8745208073544862,0.9062119723530072,5,5,estimated,0.5647135295937064,0.0173864204498247,0.551241232738038,0.5781493508820809,5,5,estimated,1.051231210995113,0.07801063002914586,0.9807720159224527,1.098414715832567,5,5,estimated,-0.023874526108067413,0.025423639164378772,-0.04252358378360589,-0.005225468432528928,5,5,estimated,0.9532294896263147,0.0015551933037977546,0.9520992818011086,0.9545420807305266,5,5,estimated,0.8917702305886186,0.011629818079198728,0.8850388603882215,0.9022781074742788,5,5,estimated
descriptor:lightgbm,pair_cv,5,0.6743579148705988,0.025396191996604974,0.6585732942791939,0.6972978432568198,5,5,estimated,1.1987934781511187,0.07634034522470945,1.1428800443102254,1.2606631002287312,5,5,estimated,-0.003816468957502503,0.05971565866544007,-0.03975584438520433,0.0500407714478176,5,5,estimated,0.9348974477169832,0.0033532835989171545,0.9327673874615654,0.937985294994075,5,5,estimated,0.8594480901338795,0.015703131866392394,0.8471763422502164,0.8717198380175424,5,5,estimated,0.6742364501681137,0.025378235232148452,0.6549279173451,0.6944976426088043,5,5,estimated,1.1956850218343409,0.06752864696624807,1.1441285933684844,1.2440896351444195,5,5,estimated,-0.021138487222895096,0.05978408749756298,-0.06499386314449021,0.02908622011971812,5,5,estimated,0.9359567396979965,0.004114564896657351,0.9334826346225578,0.9396357453210891,5,5,estimated,0.8602478597786408,0.013572839997153115,0.8498134038257081,0.8706309959311491,5,5,estimated
descriptor:mean,chemistry_block,1,2.013688528995043,0.0,,,1,1,not_estimable_single_fold,2.8553674381434586,0.0,,,1,1,not_estimable_single_fold,-0.1929088429327768,0.0,,,1,1,not_estimable_single_fold,,,,,1,0,undefined_or_incomplete_metric,-0.0045852929001217735,0.0,,,1,1,not_estimable_single_fold,1.7728932913411153,0.0,,,1,1,not_estimable_single_fold,2.823572983202333,0.0,,,1,1,not_estimable_single_fold,-1.5112556889685156,0.0,,,1,1,not_estimable_single_fold,,,,,1,0,undefined_or_incomplete_metric,-0.4014811024173437,0.0,,,1,1,not_estimable_single_fold
descriptor:mean,dopant_cv,5,2.3117860674626978,0.0748565554780125,2.2575833744913787,2.370257582855429,5,5,estimated,3.215346828042656,0.0869545718966854,3.140966524864967,3.27686372162718,5,5,estimated,-0.0006983129846357044,0.6125382997572644,-0.5101789327914811,0.45440310398511946,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.031992109604758935,0.03667770763273274,-0.06385933589006706,-0.0056621128191642,5,5,estimated,2.3146357151043775,0.05928704944300881,2.2647173042920365,2.3584468056309547,5,5,estimated,3.2154544451691507,0.08798607347799985,3.150246987743592,3.2883265689552337,5,5,estimated,-0.0006983129846358071,0.6133911481790956,-0.5352098362690484,0.4333605404133413,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.032147259927671666,0.040218511083224315,-0.06846782452252284,-0.0076476555820383044,5,5,estimated
descriptor:mean,host_cv,5,2.3202482204477457,0.15781851953267717,2.194487753840627,2.4267847312953923,5,5,estimated,3.2103751728123924,0.3281683910303092,2.9473894092231765,3.454161434303475,5,5,estimated,0.0029073966450614552,0.6442845573284712,-0.4611804456443814,0.5583411353632,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.037468148991064744,0.048323932948020766,-0.08069887715780114,-0.007632796371555362,5,5,estimated,2.3158348516069984,0.12771748601492441,2.2154731928066513,2.416196510407345,5,5,estimated,3.2107725709869386,0.3229855701492502,2.9664649248647144,3.4494282889923946,5,5,estimated,0.0029073966450614995,0.6441408750847907,-0.4733104184313678,0.49528777575840666,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.037449740029471636,0.026373963311377705,-0.059060803139693266,-0.017797493968708798,5,5,estimated
descriptor:mean,id_cv,5,2.2986330168649745,0.05051960363288801,2.261438094144756,2.336957250688976,5,5,estimated,3.2013915411712133,0.08043099536014552,3.1403204657943213,3.266250270896049,5,5,estimated,-8.242741924199826e-06,0.08003860749213204,-0.06514712662850877,0.05344367460717185,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.0004969686649571425,0.0006441325537271205,-0.00104089740401343,-8.643785517907787e-05,5,5,estimated,2.298604420633484,0.04877260186016263,2.2622022619315545,2.3363447849559753,5,5,estimated,3.20139745362588,0.08013359196007727,3.140626385349983,3.266064189344236,5,5,estimated,-8.242741924199826e-06,0.08003590747082316,-0.06146859666853579,0.06626743106901908,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.0005044103007366463,0.0005901496415419653,-0.0009764852769937437,-6.703040304709696e-05,5,5,estimated
descriptor:mean,id_repeat,5,2.2884138988710694,0.10082327885047851,2.2142278127332147,2.3733226659107354,5,5,estimated,3.2043700547804854,0.15802582580255425,3.0846800346277625,3.325559083138745,5,5,estimated,-0.05691569166280552,0.18771527217275777,-0.17136905293163626,0.11537854396613192,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.0031303844888862288,0.0029201344158172686,-0.005645234960464362,-0.0011375087313821642,5,5,estimated,2.296710177969592,0.04096250431965917,2.271881258128848,2.3329139000171746,5,5,estimated,3.198422307099846,0.06656707082761383,3.138833977132073,3.249381967307369,5,5,estimated,-0.08063098614018553,0.07939412748999965,-0.14698270615594966,-0.022500155101864885,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.001132149805160898,0.0016062388585320181,-0.0025669985595514256,-0.00016422354900869074,5,5,estimated
descriptor:mean,pair_cv,5,2.2986139223167545,0.021472777270082004,2.2820183492748405,2.3146387421181442,5,5,estimated,3.2015536214640514,0.0657462343056544,3.1516859445635044,3.2514212983645985,5,5,estimated,-6.868338966017906e-06,0.07495797839796178,-0.05849727885765858,0.05848354217972655,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.00043220159048007467,0.0002480447882682154,-0.0006168695419626502,-0.0002272956272159732,5,5,estimated,2.298504273742749,0.022367131258757052,2.282080784238656,2.316110228835657,5,5,estimated,3.201556486406967,0.0655706387249945,3.1519533678213465,3.251159604992588,5,5,estimated,-6.868338965990151e-06,0.07495712470552628,-0.05437782488141744,0.0553175501670359,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.000435837154341856,0.0004645926913312671,-0.0008105456722057091,-0.00011131654507625654,5,5,estimated
descriptor:random_forest,chemistry_block,1,0.69419757957394,0.0,,,1,1,not_estimable_single_fold,0.9432184593250696,0.0,,,1,1,not_estimable_single_fold,0.029728030634450443,0.0,,,1,1,not_estimable_single_fold,0.9127538274443089,0.0,,,1,1,not_estimable_single_fold,0.890380606806455,0.0,,,1,1,not_estimable_single_fold,0.7726357390244898,0.0,,,1,1,not_estimable_single_fold,1.094581767288128,0.0,,,1,1,not_estimable_single_fold,0.10566553220846787,0.0,,,1,1,not_estimable_single_fold,0.8304015319959629,0.0,,,1,1,not_estimable_single_fold,0.7893867790284174,0.0,,,1,1,not_estimable_single_fold
descriptor:random_forest,dopant_cv,5,1.33395165464243,0.2313188718516314,1.216680698574382,1.5409716535708857,5,5,estimated,1.890159885143601,0.2697097688124965,1.7499858045689003,2.133084479363961,5,5,estimated,0.23787549423245377,0.5836012285797624,-0.175798436024016,0.7452261098010803,5,5,estimated,0.7635447116168473,0.08800459241347573,0.6840203950554378,0.8222459271497428,5,5,estimated,0.6362797710502054,0.1154402792451216,0.533716249678031,0.7060501825846366,5,5,estimated,1.3691394038727864,0.16006379787342015,1.2351110167921822,1.4840624072185353,5,5,estimated,1.9328807855574013,0.15023992444287154,1.8030462239323868,2.035054116768552,5,5,estimated,0.2759298451892353,0.5587324497112457,-0.15476099013218608,0.7066206805106566,5,5,estimated,0.7541093541023447,0.054828828596403284,0.7138831746404268,0.7991944281560409,5,5,estimated,0.622683756102648,0.07143300098342152,0.5753819101039002,0.6846313523127165,5,5,estimated
descriptor:random_forest,host_cv,5,1.2408844268625194,0.1696611425234589,1.120966341461172,1.391080934763974,5,5,estimated,2.058394174170099,0.2142024782630705,1.8905894239064498,2.218253209180504,5,5,estimated,0.0963412240419339,0.5016785824391047,-0.2978553999518355,0.4905378480357033,5,5,estimated,0.7981759939923082,0.07458342731367801,0.7325028068846419,0.8452551827943836,5,5,estimated,0.5523131682932971,0.15848492446389292,0.42237446229292364,0.6657259694970901,5,5,estimated,1.272066808955813,0.18866703659766826,1.1241988375880525,1.4199347803235736,5,5,estimated,2.0748990234004223,0.14827824850623253,1.954974545497888,2.1859748568108555,5,5,estimated,0.0764313954209211,0.3973028276714938,-0.23158091500699168,0.38444370584883386,5,5,estimated,0.7788903327225408,0.07452168420698864,0.7148642948793109,0.8292339709920675,5,5,estimated,0.5529301817042185,0.1157710055651328,0.45857487518204615,0.6399858726045979,5,5,estimated
descriptor:random_forest,id_cv,5,0.7287382052984871,0.03779435517803352,0.6982135254201557,0.7574670049198509,5,5,estimated,1.3359608325969998,0.11605259505459689,1.2445066045244895,1.4274150606695102,5,5,estimated,-0.01293426542569367,0.039108156472126857,-0.04579350815724501,0.01359247566208048,5,5,estimated,0.9279195197611892,0.0073655995775823956,0.9217403967149149,0.9330706461026578,5,5,estimated,0.8253797291496797,0.0241921319521285,0.8075111007224054,0.844482099657909,5,5,estimated,0.7300851037477819,0.02251847960033375,0.7127997896562436,0.7473704178393202,5,5,estimated,1.33846085100391,0.0857685257539569,1.2712122557156182,1.4057094462922017,5,5,estimated,-0.00786823752499379,0.03327638417713358,-0.03809112428188626,0.009476973137209434,5,5,estimated,0.9257904450551948,0.0070565241812011415,0.9206537907243888,0.9310546066833798,5,5,estimated,0.8250405374122497,0.015428003385572438,0.8134952989942337,0.8375438313889104,5,5,estimated
descriptor:random_forest,id_repeat,5,0.6730316046640177,0.025635724602105177,0.6516648166233404,0.6928387753805383,5,5,estimated,1.2525622837368995,0.11005809216841278,1.1518477334301043,1.3240243398066067,5,5,estimated,-0.012816866764213102,0.05875396904142849,-0.054268192817276,0.039709606418808135,5,5,estimated,0.9317868927308869,0.005841219786926555,0.9276580338635988,0.9368557198139505,5,5,estimated,0.8464282487686191,0.01912706095337152,0.8327215092988226,0.8621678957806435,5,5,estimated,0.6517095361394688,0.014656363851666595,0.6402725631173533,0.662958731163512,5,5,estimated,1.227709260822286,0.06226682822325511,1.1758122896439496,1.2737569382736558,5,5,estimated,-0.03119743688459633,0.00929725467982376,-0.03713784301974545,-0.023024217972117435,5,5,estimated,0.9408365684594349,0.004864304872535606,0.937068102371005,0.9446050345478649,5,5,estimated,0.8525086008654272,0.0093714409049046,0.8454555855185957,0.8601938295878847,5,5,estimated
descriptor:random_forest,pair_cv,5,0.7997874849991785,0.03922589451023965,0.7720882865578862,0.8319821587846666,5,5,estimated,1.3951965017216232,0.07406151997342868,1.3429729016678045,1.4579537965206923,5,5,estimated,0.008482746423268486,0.06129206822116377,-0.024711422789828227,0.06323574844139575,5,5,estimated,0.9162068700435301,0.007421475219967129,0.9104996890709,0.9221467347302834,5,5,estimated,0.8097818426495269,0.016848229536931027,0.7955001861639514,0.8221110531182131,5,5,estimated,0.7956818838960618,0.0430692114553046,0.7672694248425425,0.8322603009871814,5,5,estimated,1.38293454051723,0.10023524772774794,1.3037583931742291,1.4625775311997793,5,5,estimated,0.0003230892138906927,0.05865156888651845,-0.03854444047263779,0.04827274817047271,5,5,estimated,0.9182767786314046,0.008053181222086014,0.9122550798813324,0.9245840666584216,5,5,estimated,0.8129273057162661,0.022993735161220163,0.795495356294748,0.8303427811312553,5,5,estimated
descriptor:ridge,chemistry_block,1,1.4305364420744426,0.0,,,1,1,not_estimable_single_fold,1.975023573948872,0.0,,,1,1,not_estimable_single_fold,-0.025163327596253206,0.0,,,1,1,not_estimable_single_fold,0.6612193414583603,0.0,,,1,1,not_estimable_single_fold,0.5193738701911195,0.0,,,1,1,not_estimable_single_fold,1.2364804650602923,0.0,,,1,1,not_estimable_single_fold,1.796848055650589,0.0,,,1,1,not_estimable_single_fold,0.14932992557103086,0.0,,,1,1,not_estimable_single_fold,0.5960100981434915,0.0,,,1,1,not_estimable_single_fold,0.43243981893045613,0.0,,,1,1,not_estimable_single_fold
descriptor:ridge,dopant_cv,5,1.821050789167955,0.12979281074924479,1.7059444736284455,1.913037835033886,5,5,estimated,2.488602361110429,0.10338832092632201,2.400256792694474,2.561947078997431,5,5,estimated,0.06199153620368445,0.4921754198196629,-0.2717409670695158,0.49390688027917073,5,5,estimated,0.5986609574171461,0.07357020659049521,0.5369215039122832,0.6523818961391826,5,5,estimated,0.37764957581755765,0.0869579299317606,0.3111691213648786,0.4445642053543555,5,5,estimated,1.8405197731368879,0.11740559659166092,1.7708573123891072,1.9464233749171214,5,5,estimated,2.5175078279200527,0.15550162063386233,2.431618004485386,2.6572303744024905,5,5,estimated,0.07284327432922941,0.47878170076765125,-0.3235218426966978,0.43025019849023227,5,5,estimated,0.6036604963973667,0.05187963873296744,0.5603938110482163,0.6421744219012208,5,5,estimated,0.36680206704644663,0.061407588928628715,0.3194884543910296,0.41227701348626533,5,5,estimated
descriptor:ridge,host_cv,5,2.087702603615802,0.24991000741589298,1.9037548470304482,2.2716503602011557,5,5,estimated,2.842313906191022,0.28125655710578307,2.604320828387009,3.045968502873349,5,5,estimated,0.10618664217218676,0.7319778899891757,-0.4882195092770269,0.6517284533612578,5,5,estimated,0.5335421883008251,0.055506573226205766,0.48280300161847317,0.5683443189624884,5,5,estimated,0.1695630440368776,0.2007311684796358,-0.008026842377631427,0.30203697037283556,5,5,estimated,3.0595313158289317,1.8128494344718487,2.02941995741993,4.7065955738926135,5,5,estimated,5.2432391234143,4.856591044695818,2.804122353972811,9.624698125775845,5,5,estimated,1.2635098001231757,2.1139057892533084,-0.263820330386593,2.985895305191357,5,5,estimated,0.48961532819528636,0.10553485429106665,0.39460187112753436,0.5516711074899555,5,5,estimated,-3.190011091459775,7.0017191835507795,-9.525702750151895,0.22424725488046535,5,5,estimated
descriptor:ridge,id_cv,5,1.72607059676203,0.02522172461123193,1.7071360844018302,1.746160096387921,5,5,estimated,2.384187638278579,0.09252925769707285,2.316301388273956,2.4608393337927317,5,5,estimated,0.0043529375739303055,0.06445738565003757,-0.05317343146372285,0.0450252809828659,5,5,estimated,0.6458719407274606,0.013152667292740769,0.636023659529458,0.6564267733530238,5,5,estimated,0.44507115084897747,0.024035745977575382,0.42341206468209147,0.4610436498553466,5,5,estimated,1.7245175778626347,0.024338559530667377,1.7067081552803667,1.7440700901859327,5,5,estimated,2.384076265122937,0.08953613061668879,2.3181582723913476,2.4575252246992125,5,5,estimated,0.002750744543264208,0.06750501264642564,-0.05337697712749919,0.0525157033879316,5,5,estimated,0.645473393224643,0.016411442261639354,0.6331504188959132,0.658930523939001,5,5,estimated,0.4451443388613064,0.02204245289309233,0.42515262146454474,0.46089726796668506,5,5,estimated
descriptor:ridge,id_repeat,5,1.707513777852866,0.05068100121959486,1.6662600424687786,1.7440321165411334,5,5,estimated,2.357154385208562,0.10678852862822065,2.2736434779549053,2.4406652924622176,5,5,estimated,-0.07045940157717286,0.13561777094296082,-0.15419436644116022,0.04990614234446563,5,5,estimated,0.6408194604245521,0.03192843381819196,0.6170007385352138,0.6645015670073698,5,5,estimated,0.4564619959117585,0.02798915953731532,0.43459177058177617,0.47833222124174063,5,5,estimated,1.7410601261223673,0.02186542749446421,1.725281935631502,1.759655304887307,5,5,estimated,2.3952979281521074,0.07582354474956579,2.328761186131836,2.44411872450697,5,5,estimated,-0.02959392013951928,0.06266096957092371,-0.085173264884174,0.014649928373947674,5,5,estimated,0.6324723330974342,0.019371074854344486,0.617654520758792,0.6472901454360764,5,5,estimated,0.43841118896573333,0.022784750646148346,0.42007941043407016,0.45575048464407325,5,5,estimated
