model,family,regime,split_id,seed,manifest_path,manifest_sha256,prediction_path,git_commit,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
descriptor:lightgbm,lightgbm,dopant_cv,dopant_cv5_f3,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/metrics.json,17cbe3448412a38898ae95946caca2a1ad4655f2118fa887edff8c0091147011,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/predictions.npz,,1.1991745855084204,1.7061657657915807,-0.3699823876951756,0.7901587713390474,0.6691683403825399,1.5458756673091851,2.1957772119577808,0.876526005911823,0.6572484918249202,0.5165943535453796
descriptor:mean,mean,dopant_cv,dopant_cv5_f3,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/metrics.json,17cbe3448412a38898ae95946caca2a1ad4655f2118fa887edff8c0091147011,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/predictions.npz,,2.2136796619908177,3.090268403119398,-0.8664392344708131,,-0.08531803340541133,2.279175428624297,3.180205868109543,0.3739164705896204,,-0.014017945371498364
descriptor:random_forest,random_forest,dopant_cv,dopant_cv5_f3,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/metrics.json,17cbe3448412a38898ae95946caca2a1ad4655f2118fa887edff8c0091147011,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/predictions.npz,,1.2116378400493526,1.766652120709912,-0.42420377936888454,0.7869229203854683,0.6452955030122356,1.497525744673025,2.0843889103027675,0.8052086183201477,0.7058306842989303,0.5643951771123717
descriptor:ridge,ridge,dopant_cv,dopant_cv5_f3,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/metrics.json,17cbe3448412a38898ae95946caca2a1ad4655f2118fa887edff8c0091147011,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f3/predictions.npz,,1.882496320937567,2.52252290616119,-0.4632619435329376,0.49683618301903426,0.27683923817672873,1.7478735391108386,2.41612372064295,0.27581850600161,0.6708735673406879,0.41470675760985964
descriptor:hist_gradient_boosting,hist_gradient_boosting,dopant_cv,dopant_cv5_f4,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/metrics.json,75628545d7a9bc5eb1528f058f938563d0eabbcd77049b21557a6a316d82dfe0,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/predictions.npz,,1.200666122300966,1.6654143327601292,-0.045260588247385464,0.7833855171704497,0.7483811076051812,1.5273267412201375,2.0206121863749553,-0.42226747632783596,0.6530730951439045,0.5359865682637501
descriptor:lightgbm,lightgbm,dopant_cv,dopant_cv5_f4,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/metrics.json,75628545d7a9bc5eb1528f058f938563d0eabbcd77049b21557a6a316d82dfe0,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/predictions.npz,,1.2203044792853364,1.6714784772665898,-0.06746528557996503,0.7643812156596816,0.7465453706598895,1.4591970333130606,1.9727829652950686,-0.5109905349833431,0.6877735149581446,0.5576935884925591
descriptor:mean,mean,dopant_cv,dopant_cv5_f4,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/metrics.json,75628545d7a9bc5eb1528f058f938563d0eabbcd77049b21557a6a316d82dfe0,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/predictions.npz,,2.288970725766651,3.3209059021709657,0.07332713660241304,,-0.0004877846202837599,2.228396558991083,3.1128857301631188,-0.9439362863908938,,-0.10126281103308044
descriptor:random_forest,random_forest,dopant_cv,dopant_cv5_f4,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/metrics.json,75628545d7a9bc5eb1528f058f938563d0eabbcd77049b21557a6a316d82dfe0,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/predictions.npz,,1.2511294238365185,1.756865263106042,0.04326787477008513,0.7923345995559036,0.7199886970448173,1.4063342423421952,1.9446672705388133,-0.455508969007816,0.7077048765953057,0.5702110690151478
descriptor:ridge,ridge,dopant_cv,dopant_cv5_f4,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/metrics.json,75628545d7a9bc5eb1528f058f938563d0eabbcd77049b21557a6a316d82dfe0,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f4/predictions.npz,,1.7578864516749024,2.4475186535164206,0.08479678098037047,0.6593727094133084,0.4565611641143751,1.828097260626545,2.469552221287775,-0.553541126218986,0.527377840143352,0.3068917873928175
descriptor:hist_gradient_boosting,hist_gradient_boosting,host_cv,host_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/metrics.json,451290375fad46ada7a42fc6972b124869357081be7a7b1d8be2289a92aa5f23,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/predictions.npz,,1.493657086042072,2.2529746672304634,0.7754974619516246,0.7060459060895994,0.3394453063312749,1.0508843991937986,1.9574929724972832,0.6403938378565017,0.8243804364974082,0.49896427190512094
descriptor:lightgbm,lightgbm,host_cv,host_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/metrics.json,451290375fad46ada7a42fc6972b124869357081be7a7b1d8be2289a92aa5f23,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/predictions.npz,,1.5272159050914815,2.274683032148416,0.7553666197190078,0.692003253725897,0.3266545311614185,1.0290711304070486,1.8957598785600744,0.590344062862236,0.8262112629729668,0.5300680986798053
descriptor:mean,mean,host_cv,host_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/metrics.json,451290375fad46ada7a42fc6972b124869357081be7a7b1d8be2289a92aa5f23,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/predictions.npz,,2.3093051169763124,2.932680255230797,0.957247057425652,,-0.11924611695582565,2.158469971361296,2.843068310381031,0.6597892470244812,,-0.05692181497535542
descriptor:random_forest,random_forest,host_cv,host_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/metrics.json,451290375fad46ada7a42fc6972b124869357081be7a7b1d8be2289a92aa5f23,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/predictions.npz,,1.4989944906996433,2.2973744533140508,0.7207941608627143,0.672098702631548,0.3131534190140314,1.0402190782672738,1.945467276769131,0.5639835606067372,0.8184323037325598,0.5051015049109163
descriptor:ridge,ridge,host_cv,host_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/metrics.json,451290375fad46ada7a42fc6972b124869357081be7a7b1d8be2289a92aa5f23,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f0/predictions.npz,,2.3221772975451467,2.9897882286855766,1.042824663185254,0.43834282740113806,-0.16326060687266875,1.967009075463214,2.6476092433431506,0.9986619970898842,0.5491389998004617,0.0834080263549265
descriptor:hist_gradient_boosting,hist_gradient_boosting,host_cv,host_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/metrics.json,8af8f4875e8dc26c16b23cd00b7204604389230dc92b1a578f908147a795339f,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/predictions.npz,,1.1274308065301109,1.7171668117090808,0.2890218958098025,0.8578581914644516,0.7452081306493974,1.5267373737965957,2.2389109626869867,0.5336883564291014,0.6720198294206976,0.3476663052258808
descriptor:lightgbm,lightgbm,host_cv,host_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/metrics.json,8af8f4875e8dc26c16b23cd00b7204604389230dc92b1a578f908147a795339f,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/predictions.npz,,1.1129823844147224,1.681479253031333,0.1238348021292521,0.8586733606732183,0.755688663703735,1.4906040730493335,2.1748050525906444,0.459040592428894,0.6754316079300243,0.3844875632700069
descriptor:mean,mean,host_cv,host_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/metrics.json,8af8f4875e8dc26c16b23cd00b7204604389230dc92b1a578f908147a795339f,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/predictions.npz,,2.456774469421991,3.405852092578371,-0.16432562815524657,,-0.0023333032990284774,2.22351648434169,2.872542977111838,0.753134519779859,,-0.07381443053775194
descriptor:random_forest,random_forest,host_cv,host_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/metrics.json,8af8f4875e8dc26c16b23cd00b7204604389230dc92b1a578f908147a795339f,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/predictions.npz,,1.131816044465728,1.7571266762045947,0.05759880465129352,0.8677510089084081,0.733211726122129,1.472669800928404,2.1671997585356966,0.4354830695650046,0.6612129164502252,0.38878493058874086
descriptor:ridge,ridge,host_cv,host_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/metrics.json,8af8f4875e8dc26c16b23cd00b7204604389230dc92b1a578f908147a795339f,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f1/predictions.npz,,2.029384210960396,2.717324306787423,0.22892082281774964,0.580958418384369,0.36196641458602286,2.852819458097421,3.7859815807969213,1.973938869881944,0.49292314617371896,-0.8653191951385444
descriptor:hist_gradient_boosting,hist_gradient_boosting,host_cv,host_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/metrics.json,2c6f272e5135b4e9ed2323cdd2c571b411351f60ccfb20c63befed87b7b39c95,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/predictions.npz,,1.2159230679643822,2.105350645347028,-0.4208079357407709,0.8552874110196084,0.6279452237061092,1.4148907977606056,2.113404049714137,-0.4024353988934174,0.7970819169608484,0.6140547826912943
descriptor:lightgbm,lightgbm,host_cv,host_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/metrics.json,2c6f272e5135b4e9ed2323cdd2c571b411351f60ccfb20c63befed87b7b39c95,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/predictions.npz,,1.2286262070421383,2.0123272651006316,-0.5047897737399373,0.8555623527439633,0.6600968168803265,1.3862025542371244,2.056582686174523,-0.48861422183318526,0.8132354693515625,0.6345289815769249
descriptor:mean,mean,host_cv,host_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/metrics.json,2c6f272e5135b4e9ed2323cdd2c571b411351f60ccfb20c63befed87b7b39c95,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/predictions.npz,,2.454295131234677,3.4708086789342922,-0.3646106885310115,,-0.011158782181750482,2.4326465221786626,3.430576716068642,-0.4427539275720249,,-0.01693890910985507
descriptor:random_forest,random_forest,host_cv,host_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/metrics.json,2c6f272e5135b4e9ed2323cdd2c571b411351f60ccfb20c63befed87b7b39c95,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/predictions.npz,,1.3266051572552133,2.2203072444305163,-0.4307487614073772,0.8231089632642826,0.5862060272112619,1.4486423588994817,2.153377601621943,-0.2493523753520144,0.7722504213133191,0.5993169456031022
descriptor:ridge,ridge,host_cv,host_cv5_f2,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/metrics.json,2c6f272e5135b4e9ed2323cdd2c571b411351f60ccfb20c63befed87b7b39c95,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f2/predictions.npz,,2.3422564974775444,3.1742433262979146,-0.3173929891201419,0.5382767047529875,0.15425694725165562,6.23771644530081,13.896633268246385,4.5038299581554755,0.30650579165433756,-15.687058412538956
descriptor:hist_gradient_boosting,hist_gradient_boosting,host_cv,host_cv5_f3,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f3/metrics.json,57d2ad3de764c55803f44fcd1d1ea282b21ad1d96759a0e013dfed173b163e3c,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/host_cv5_f3/predictions.npz,,1.0860318152355282,1.9338800668732328,-0.5253296012359413,0.8578887891994735,0.6743520675924406,1.124403294527938,1.8211974054115068,-0.2760854541876938,0.8696683286529483,0.7215981899863977
