axis,group,n,mae_eV,rmse_eV,bias_eV
dopant,Be,215,0.4434179472605784,0.7078520672399343,-0.006984373433730349
dopant,Bi,36,0.8781445553867873,1.613218750585491,0.04526337437913078
dopant,Br,173,0.3081088380490178,0.6454670425810173,0.1108149811451619
dopant,C,185,0.5593748249243202,0.8684074522854658,-0.06325316738281994
dopant,Ca,183,0.3516948250640375,0.6548310112302506,0.035200142320218744
dopant,Cd,163,0.4267457062020215,0.8877973561588436,-0.07557400061365757
dopant,Cl,185,0.39155150060650423,0.769815043663297,-0.01610565294297457
dopant,Co,182,0.34859895409185465,0.685742453354443,-0.009306135424577042
dopant,Cr,179,0.5563253176865055,1.5209899974160945,-0.35756294240406
dopant,Cs,156,0.5766560111600231,1.487368442374801,-0.07968690517293438
dopant,Cu,162,0.35259943879090777,0.7057880142114185,0.07565620992456783
dopant,F,212,0.610401120302008,1.3346694679089404,0.015079323323973529
dopant,Fe,171,0.3145510061449856,0.5033562497066787,0.05235632526249265
dopant,Ga,143,0.31066379604854977,0.5348813033798424,0.03200015700856102
dopant,Ge,140,0.3739625445755028,0.6423440294531308,-0.02363128527203906
dopant,H,234,0.3682408642558059,0.5821859109626494,-0.07240240032756481
dopant,Hf,134,0.5860218070568822,1.2395266967031002,0.07701284596419837
dopant,Hg,144,0.35877364681650575,0.7182504846070916,0.027355116041942712
dopant,I,143,0.3427724383656898,0.8292896665363635,-0.042048266086401956
dopant,In,35,1.579000663511997,2.4915048043020955,1.0313175038501026
dopant,Ir,129,0.5436996838356666,1.2688773885675155,-0.07258963042937173
dopant,K,165,0.2681265847974521,0.5377498467173434,0.014973221853608451
dopant,Li,209,0.5080607771925691,1.1432498459286913,0.07121646566747278
dopant,Lu,184,0.6503990551730687,1.17736780584237,-0.12375128562521157
dopant,Mg,189,0.37044165747863306,0.7534488193421752,-0.08127846616537836
dopant,Mn,188,0.27703263883671164,0.4143237898472833,-0.03519066106650455
dopant,Mo,132,0.4276416314235222,0.7622280372743925,-0.11259694938252078
dopant,N,211,0.6771680371714401,1.2709309260099824,-0.14097620530728444
dopant,Na,81,0.5798190728131021,0.9428736714697511,0.16802472125918985
dopant,Nb,128,0.3176498679233123,0.5402260402998051,-0.026947973643958033
dopant,Ni,165,0.39305489038016805,0.6223452048308565,-0.08825416894714846
dopant,O,202,0.6942764933766425,1.364127387608517,-0.061667543322380454
dopant,Os,144,0.5411986855371248,0.9727368913812752,-0.20229471447272462
dopant,P,182,0.3684943098713107,0.8214990949764217,-0.0725341903638316
dopant,Pb,63,1.012642863410326,2.416718731216457,-0.13306260176155127
dopant,Pd,158,0.2985242553218335,0.5547747634872514,0.09698126975961287
dopant,Pt,146,0.38428088041939584,0.7783005142267251,0.029505395885871276
dopant,Rb,162,0.33563243589207437,0.9276382069634694,-0.09669223417135062
dopant,Re,167,0.6309913432849413,1.1662028033950569,-0.21383867144692148
dopant,Rh,150,0.3247755975000795,0.5813447162485382,-0.0353883493738727
dopant,Ru,162,0.698787446616947,1.7022240751439075,-0.12327173000119462
dopant,S,133,0.4314565061153374,0.6148740477521156,0.11172615850584246
dopant,Sb,154,0.38927172498175416,0.7271951563095429,-0.1220070014766968
dopant,Sc,170,0.36373848189501573,0.8060168364802296,0.04938175453586328
dopant,Se,110,0.3624995725407194,0.5413558556024698,-0.05200938023773891
dopant,Si,175,0.4063492924094549,0.753320518237244,-0.03204894670001915
dopant,Sn,126,0.4474390049571301,0.821352419292688,0.0267771528254129
dopant,Sr,157,0.3291098720575494,0.726902344691719,-0.037235227610521934
dopant,Ta,139,0.6024546420864745,1.2900472367777,-0.12252172791219303
dopant,Tc,156,0.334582561995049,0.6500021434227232,-0.033906730786319894
dopant,Te,132,0.37976673529054045,0.971610906206568,-0.12607922490205348
dopant,Ti,159,0.36034725646882143,0.6512994046886357,0.005844877680406182
dopant,Tl,139,0.28576250522565466,0.4819393478146509,0.08834795085856281
dopant,V,170,0.3411370675182955,0.6894500493126547,-0.04170513828620096
dopant,W,137,0.4731669207380679,0.8319309210129895,-0.025298528076553046
dopant,Xe,167,0.7061505173230839,1.4982900677509174,-0.18606353426389982
dopant,Y,162,0.40559496409109436,0.8407527871945103,-0.04930277447756903
dopant,Zn,157,0.4513774023528336,0.8319094252696836,-0.08354888292287718
dopant,Zr,152,0.37175877428890086,0.6950555032261014,-0.06511401862906363
defecttype,adsorbate,6925,0.3153574229972856,0.7079345738020912,-0.021971150154169426
defecttype,interstitial,3299,0.7078014458770107,1.291622354852891,-0.060737179498504205
site,ads0,2324,0.2501388830682118,0.6444622087331828,0.00014077633170162738
site,ads1,2176,0.2809487673911446,0.5455934900088777,-0.016227177837898534
site,ads2,2029,0.3464575705535972,0.6891249290609048,-0.006658689383143205
site,ads3,64,0.2613514241495704,0.74630823392443,-0.0949314993874425
site,ads4,61,0.2562125908327012,0.4032216810982372,-0.04947054855524436
site,ads5,65,0.35423140964114924,0.8373536395198558,0.12861980340373264
site,int0,1029,0.810977513895191,1.4199076750017885,-0.12473915377324701
site,int1,822,0.8068955432638801,1.4654045063689154,-0.02052976554193086
site,int2,794,0.6640066024733706,1.195137403493836,-0.0932628347842464
