axis,group,n,mae_eV,rmse_eV,bias_eV
dopant,C,185,0.6095402588803686,0.9069612076495888,-0.1595715901642745
dopant,Ca,183,0.30613372994915866,0.5395037849475266,0.07126628621076637
dopant,Cd,163,0.4254997074394226,0.9151334548137267,-0.13247628561614952
dopant,Cl,185,0.37559922379408783,0.6496352273519095,-0.0058370768622398915
dopant,Co,182,0.35258917593523914,0.6707658742323012,-0.05345492311693
dopant,Cr,179,0.5816606859500438,1.524560528151799,-0.3412280297736272
dopant,Cs,156,0.5597605394676364,1.4248602902525558,-0.11778634923827287
dopant,Cu,162,0.3381619719694179,0.6822403449032696,0.04030843842714752
dopant,F,212,0.7342110974592491,1.5082123494908892,0.08955154207588088
dopant,Fe,171,0.381519715694727,0.8900895653783806,0.03645456590849802
dopant,Ga,143,0.32667172686787244,0.5513729495704869,0.01973532175759984
dopant,Ge,140,0.35324148554092816,0.628359707583618,-0.025367928756699618
dopant,H,234,0.36541654793442685,0.5951540144521962,-0.005869594892905804
dopant,Hf,134,0.5323689325259441,1.092161638700176,0.08557639295625834
dopant,Hg,144,0.370998207677223,0.772334854280151,-0.016253669461497724
dopant,I,143,0.3266049164765549,0.871359841258803,-0.03037796674310607
dopant,In,35,1.5015704391545466,2.4568549284296615,1.0597169576944454
dopant,Ir,129,0.54822338890375,1.2562492298789705,-0.1323784535571183
dopant,K,165,0.2641876305114774,0.566451819430145,-0.03977954414869979
dopant,Li,209,0.4868384259952311,1.0938868249153288,0.043924180998554926
dopant,Lu,184,0.7027253144380197,1.1704401498665669,-0.09953977590507268
dopant,Mg,189,0.3913959845964659,0.7999749588137596,-0.054451488435580994
dopant,Mn,188,0.2676237971546547,0.40963505046444076,-0.02409166938331565
dopant,Mo,132,0.39964143605013686,0.7087248112358873,-0.05491874117588166
dopant,N,211,0.7030895396398642,1.3726772649693273,-0.11021710972662756
dopant,Na,81,0.5554006208956085,0.9910129278601589,0.1776882604274653
dopant,Nb,128,0.324772330211105,0.5450824001312826,-0.06024896202009862
dopant,Ni,165,0.39013211055942154,0.577284897013749,-0.07010101951574642
dopant,O,202,0.7427372394433917,1.2511196223140637,-0.009403990722766254
dopant,Os,144,0.5267744531790287,0.9847481111277454,-0.07893401025603246
dopant,P,182,0.39121069157037286,0.8544237358783282,-0.09297604279193251
dopant,Pb,63,0.9950843684952702,2.372523490931575,-0.18417023544307562
dopant,Pd,158,0.29332635055073686,0.584779348738482,0.0929365445889945
dopant,Pt,146,0.41740384466910785,0.8291127039024851,0.0024228791633881053
dopant,Rb,162,0.3316128188206221,0.9217756718516378,-0.03541581450821571
dopant,Re,167,0.6630199759281228,1.2182949750299708,-0.197301342052975
dopant,Rh,150,0.3096395982458102,0.5752929044444346,-0.023829660892223936
dopant,Ru,162,0.6526930133119732,1.6587816603863876,-0.14772701242442596
dopant,S,133,0.4438545491551345,0.6571887899610112,0.05184896723474175
dopant,Sb,154,0.36646850682045135,0.7818028925969565,-0.12454501911501474
dopant,Sc,170,0.3557905749092523,0.7884689592524333,0.0390047184131485
dopant,Se,110,0.33616233427910375,0.46926350930846317,-0.021011687782793984
dopant,Si,175,0.4164073878048095,0.9162602138573344,-0.025683977174000734
dopant,Sn,126,0.501208589859308,0.9057918337749317,0.0561413943194857
dopant,Sr,157,0.378975726539408,0.8765544593447805,-0.08634776547442946
dopant,Ta,139,0.6326773765385132,1.3787908733600087,-0.13566662752747394
dopant,Tc,156,0.34646081814911045,0.6658036266401612,-0.08157734657553772
