host_dopant,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Cl,Co,Cr,Cs,Cu,F,Fe,Ga,Ge,H,Hf,Hg,I,In,Ir,K,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Ni,O,Os,P,Pb,Pd,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Tc,Te,Ti,Tl,V,W,Xe,Y,Zn,Zr
TiO2,1.6571,0.0579,2.9245,2.8359,2.9284,-3.2106,0.7923,,1.0916,6.0216,-2.3989,0.8494,1.1487,2.5621,1.9598,0.1126,1.9939,1.4099,2.7707,-0.0070,0.7575,2.0940,3.5427,1.7135,1.0806,,6.1315,-2.2385,-0.6096,-0.4330,-0.4281,1.5260,4.0812,5.4440,-1.8366,2.8598,2.2323,3.3782,6.8634,2.4531,,2.2881,3.8839,-2.3383,5.8190,3.6219,4.2429,1.9727,1.8821,-1.0432,2.3616,2.4966,1.6625,-1.7540,4.5630,4.5554,3.7323,0.5490,-0.4957,1.6281,7.2070,-0.0802,4.4808,1.1235,1.9377
TiS2,1.3211,-0.3290,1.4670,2.7932,0.5610,-3.2945,-0.3349,,0.8395,2.5336,-3.1618,0.2634,0.0047,0.7472,1.2863,-0.7420,0.8274,-1.9881,0.2520,0.0359,0.0286,0.1198,-0.2986,0.1750,-0.1024,1.0641,1.1181,-2.1346,-1.1774,-1.4677,-0.8928,0.3177,2.1623,2.0071,0.2707,0.6139,-0.1562,-0.3644,0.8605,1.2532,,0.6362,0.4430,-2.2390,3.2744,0.6878,1.4444,1.0035,2.5782,-1.6946,1.7999,0.5213,1.0060,-3.0326,2.5429,1.4416,1.2121,-0.9655,-1.0184,0.4387,2.9199,-0.3237,-1.7333,-0.1704,-0.9075
V2CO2,2.5573,-0.8206,0.8735,2.2687,1.9483,-4.2727,0.6593,,2.8396,3.2571,-3.5421,0.3448,1.1169,3.0510,1.9648,-2.8589,2.6459,0.3654,2.7758,1.3077,1.5977,0.7347,1.5287,0.0638,1.1683,,5.1896,-2.2828,-0.1125,-2.4617,1.2868,1.7112,3.7540,3.1812,,1.6487,2.0078,1.7474,6.1667,0.5553,,3.5082,3.9442,-2.3992,7.4023,4.1989,5.0126,3.3489,0.5342,-1.6350,3.8886,-0.2964,-0.5884,-3.8640,3.8668,3.6946,1.5105,0.5184,-1.2842,1.6658,7.5537,-0.0170,-0.7748,0.4738,0.1854
W2Se4,1.9300,2.0237,2.5286,2.3014,3.5477,-0.5736,2.6067,6.8837,0.6178,5.6555,0.0345,0.7204,1.6731,3.0844,2.9026,-1.4474,2.2525,-0.1759,3.4164,1.4681,2.6469,1.5654,5.3331,0.1674,0.8283,,5.2561,-1.0590,0.6017,2.6678,1.2179,2.4746,5.0051,3.5519,-0.6216,4.6791,2.2930,3.1054,8.2792,2.9308,,1.8945,3.1487,-1.2024,7.0802,4.7947,4.6468,2.1032,2.4435,1.5267,2.5019,2.9220,2.1273,-0.1426,5.4159,9.8057,1.9126,2.6356,0.4657,3.0880,7.4719,0.0481,2.8577,1.8252,3.1554
W2Te4,2.3653,2.4897,3.0304,2.2542,6.2296,0.4834,2.9879,,2.4659,7.4915,1.4587,1.5237,3.8737,2.9482,3.1775,1.5923,2.3141,0.9264,3.3247,2.6188,3.2051,1.4736,5.4501,0.1625,2.1764,5.2953,4.5126,-0.4807,0.9530,2.6443,1.4594,2.8490,5.7717,4.7516,4.0829,5.3466,2.2592,2.7489,6.6515,3.1167,,1.8971,2.7150,-0.6172,6.4928,3.1880,4.4596,1.7828,2.6515,2.9647,2.4059,3.2755,3.0331,0.7873,6.2357,6.2173,2.1535,3.2755,0.8711,3.5288,6.6938,2.7068,2.7650,2.4908,3.9864
WS2,2.2205,2.6027,4.6424,2.4956,5.2860,1.1009,5.7314,,4.4321,8.2786,3.9989,7.2473,4.9357,4.6749,6.9590,-0.3045,3.8939,3.6431,4.1409,5.1456,7.2416,2.3578,5.3569,0.1555,0.9726,,9.1322,3.6814,3.3266,6.9010,3.1994,6.7639,6.8783,5.8269,9.8401,7.0391,5.6618,4.1864,8.3382,5.7689,,4.9823,6.3803,4.2708,8.4116,3.8768,6.2397,3.1499,5.4305,4.9512,4.3009,4.2449,2.6074,6.6776,7.7002,8.9975,2.0536,4.7057,1.3351,4.6530,8.1268,0.0388,3.2227,1.0691,5.8855
WSe2,5.8602,4.5251,3.7865,5.0387,4.2393,4.7932,3.8194,,3.3911,5.4867,5.9058,0.7272,4.8164,4.2945,3.7033,4.6801,3.1006,1.1700,4.3819,3.4689,5.3877,2.1656,7.5009,0.1544,3.9894,-1.8970,6.0796,4.9964,2.9544,6.0374,5.3024,3.9163,5.8061,4.8905,5.1012,6.1650,3.0112,1.3123,9.7626,4.3025,,3.2004,4.2970,3.3562,7.4736,3.8225,5.5192,3.5285,5.2689,4.2531,4.8834,3.8701,5.4140,5.4269,6.9342,6.0693,1.9939,4.0909,5.3422,4.5032,9.1164,4.3849,6.0987,2.9770,7.3506
WTe2,2.1096,3.2298,3.9898,2.1676,4.3467,1.1968,2.8421,,2.9043,4.1703,3.8543,2.5696,1.9035,3.2104,3.6945,5.6486,,-0.3408,3.5762,3.4957,2.7366,1.6510,5.5113,0.1615,0.5566,5.7835,4.8107,3.6812,3.6086,3.9648,2.7060,3.2331,5.1063,3.1781,5.2662,5.7134,2.5608,0.4062,6.5614,2.9831,3.9051,1.9798,2.8331,2.2879,5.9947,3.3825,5.2469,1.7678,3.4117,,3.7969,3.4875,3.2083,3.2241,7.0523,6.2088,3.9582,4.5045,2.6561,3.8969,6.6539,0.0499,3.2831,2.7949,4.8728
ZrS2,2.5439,1.4661,2.4374,1.7366,2.7051,-0.1534,1.2105,14.4752,1.7777,4.6669,-0.5205,1.4913,1.3072,1.9673,2.1257,-1.9876,1.7447,-1.3864,2.0067,2.2839,2.5226,1.2978,1.7510,1.3285,0.9216,2.6591,3.4047,0.1287,-0.4859,0.1790,0.6950,2.0445,3.3909,2.9576,-1.3006,2.6586,1.3769,-0.1210,4.2405,2.3682,3.8287,2.0056,1.6584,0.3230,4.7334,3.1591,4.3218,1.1654,2.8188,0.1736,2.1316,2.5782,2.9935,-1.6189,3.4273,4.0873,2.8690,1.1385,1.8579,2.4674,4.9379,0.0219,0.2501,1.6398,1.3985
ZrSe2,1.5694,1.1824,1.9204,1.9674,3.2638,-0.5238,1.0526,,1.2162,4.0764,-0.6980,1.5586,0.3391,1.7620,5.7098,0.0459,1.3645,-2.1820,1.7668,1.1122,1.7797,0.9598,1.4141,1.2336,2.0868,,3.2769,-0.1231,-0.6197,0.3279,0.5164,1.3745,3.9210,2.1730,-1.8098,2.4705,0.9549,-1.2164,4.0585,1.8419,4.3559,1.1352,2.5685,-0.0040,3.5059,2.2425,2.9382,0.6325,2.3605,-0.0528,1.6582,1.9741,1.9970,-0.3958,3.4246,3.0823,2.7838,0.9241,0.9978,2.0664,4.0603,1.8596,-0.0973,1.3060,1.5896
