split,metric,term,definition,repeat_effects,mean,std,ci_low,ci_high,n_paired_repeats
validation,mae,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.015833262588333008, -0.014937360854800297, -0.01827281749354337, -0.020758546901130548, -0.019025862614265143]",-0.017765570090414472,0.002373611548155716,-0.01956832730486695,-0.015934241553399807,5
test,spearman,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0017202981439131682, 0.005776058023877928, 0.0024017246941911985, 0.0035821977599987953, -0.0014965531268471555]",0.0017086258414615197,0.003262106460115513,-0.0008063955694658897,0.004223647252388929,5
test,spearman,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0007256896570894122, 0.0032353400007388844, 0.004900802443386421, 0.001852098976461658, -0.0009388200471229791]",0.0016647463432749143,0.0025232254531722025,-0.0002953840863926249,0.0036248767729424535,5
test,spearman,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0030710963010972536, -0.0032822035230429814, -0.0018730613454153167, -0.00022171692341754756, -0.0003540348001949134]",-0.0017604225786336026,0.00144843985187873,-0.0029159321987391575,-0.0006049129585280477,5
test,spearman,G:E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0018720917939494264, 0.0017421466779602435, -0.0009538649078769668, -0.0001290085118024198, -0.0033073334003463906]",-0.00015519366962322146,0.0021380091812646944,-0.001826743686191179,0.001419893686403384,5
test,r2,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.007985181968794608, 0.002938260473567933, 0.00912712078795197, 0.010526342231135688, 0.00823936377860024]",0.007763253848010088,0.002874512317900302,0.0051854168354900755,0.009611550850121508,5
test,r2,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.004923656725417169, -0.0033114900421047366, -0.004497558963630133, -0.0028429349340084453, 0.008756078743717977]",0.0006055503058783662,0.005881201761130176,-0.003692206589095637,0.0055760805828932725,5
test,r2,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.004483797526695699, 0.0005840074228956604, 0.007501395924702781, 0.007324119561795905, 0.00929607727478765]",0.00404436053149726,0.005809302136663836,-0.001073197846497731,0.008183813192155354,5
test,r2,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.006541850984244091, 0.009687075241129772, 0.005253091008104893, 0.008116693462060676, -0.0015869467834584983]",0.0029856123887185503,0.006856746902486569,-0.002619161254826019,0.008172125682897158,5
test,r2,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0031172444354309325, 0.0034785041429374886, 0.006816940658844972, -0.0037457980712690686, 0.0012525573379668087]",0.0009369919266098536,0.004458083041281012,-0.002494705535086639,0.004368689388306346,5
test,r2,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0004483472830278945, -0.006572830290643039, 0.0006441279107738396, -0.0006072058160232485, -0.006230509039983123]",-0.002463613990569535,0.003628325592091521,-0.005242776895455115,0.0003155489143160439,5
