evidence_tier,evidence_label,axis,group,defecttype,n_samples,n_identities,sample_weighted_mae_eV,sample_weighted_ci_low_eV,sample_weighted_ci_high_eV,identity_macro_mae_eV,identity_macro_ci_low_eV,identity_macro_ci_high_eV,inferentially_eligible
canonical,CANONICAL — REPAIRED G2 OOF,host_family,chalcogenide,interstitial,2534,27,0.6341058418030793,0.5741297441189672,0.7091923074233818,0.6510539696309086,0.5828557146197074,0.7316717386950299,1
canonical,CANONICAL — REPAIRED G2 OOF,host_family,elemental_hydrogenated,interstitial,364,7,0.7098681012892534,0.5093455954303346,1.065411633264537,0.9107652304419369,0.5118077250781983,1.4305164528318475,1
canonical,CANONICAL — REPAIRED G2 OOF,host_family,halide_halochalcogenide,interstitial,246,4,0.8764993973827183,0.6460161692649533,1.7464141686657335,1.2550911843358628,0.7666030290967629,1.7435793395749628,0
canonical,CANONICAL — REPAIRED G2 OOF,host_family,oxide,interstitial,11,1,1.8689635640505224,,,1.8689635640505224,,,0
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,3d,overall,1703,10,0.3751397974208758,0.33450157361718164,0.42546696670307343,0.37587624541660997,0.3364971497713922,0.425328323207695,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,4d,overall,1528,10,0.3928168611817979,0.3344596942323419,0.4749789652795817,0.39094632263873896,0.3348168133865735,0.4712954475204631,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,5d,overall,1300,9,0.4889962312025724,0.41163010617770135,0.5646383684794115,0.4907522879493439,0.41489234310401596,0.563056033856364,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,f_block_other,overall,184,1,0.6503990551730687,,,0.6503990551730687,,,0
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,main_group,overall,5509,35,0.4582376762744115,0.4114728329593311,0.5100110727394778,0.49586113513679636,0.4215437559772571,0.5895915163035588,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,3d,adsorbate,1077,10,0.25823519069720263,0.2191864225077809,0.3070530813424338,0.2578996254052245,0.21959228117810034,0.3055033485154632,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,4d,adsorbate,1120,10,0.3239822654694299,0.2536328584547629,0.4182639744514208,0.32397058428707554,0.25427877208090965,0.4171026929553475,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,5d,adsorbate,956,9,0.4011911795145965,0.31013983501822723,0.4966419603536411,0.40970838141329124,0.323111009584959,0.4964725385664467,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,f_block_other,adsorbate,129,1,0.5573140940378409,,,0.5573140940378409,,,0
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,main_group,adsorbate,3643,35,0.29850080450253036,0.25968491871474775,0.34363209666945976,0.35350443702457063,0.28001154125315125,0.4486737177732061,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,3d,interstitial,626,10,0.576268010586045,0.4903739081895486,0.680736180366933,0.5899809771364436,0.4970752110178108,0.6934158383185836,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,4d,interstitial,408,10,0.5817745749020239,0.4982905600586059,0.6617578121571611,0.5853133311591818,0.5087529847076652,0.6585282171106898,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,5d,interstitial,344,9,0.7330125957772963,0.6587459243329465,0.8271222775067707,0.7561489088707789,0.6684634661330019,0.8538693993985514,1
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,f_block_other,interstitial,55,1,0.8687256003811487,,,0.8687256003811487,,,0
canonical,CANONICAL — REPAIRED G2 OOF,impurity_series,main_group,interstitial,1866,35,0.7700926729866104,0.6830359522424849,0.8890350987647647,0.8888421055254361,0.7584207382831321,1.0505445674838731,1
