evidence_tier,evidence_label,sample_index,raw_row_id,host,host_family,dopant,impurity_series,defecttype,site,natoms,target_eV,target_decile,pair_absolute_error_eV,extension_factor,abs_conv2,nonpathological_eligible,high_error_interstitial_pool_rank,bottom_quartile_adsorbate_pool_rank,xf_gt_2_pathology_rank,top_1pct_abs_conv2_pathology_rank,provenance_missing
canonical,CANONICAL — REPAIRED G2 OOF,9917,16564,ZrSe2,chalcogenide,Co,3d,interstitial,int0,28,2.304090134999999,5,0.07801210155273353,1.2307127298719676,0.000654052,1,2649,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9918,16565,W2Te4,chalcogenide,H,main_group,interstitial,int4,55,0.7932073275000295,2,0.1968658367544851,1.0185148314172106,0.000654062,1,2106,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9919,16567,ZrSe2,chalcogenide,Ba,main_group,adsorbate,ads0,28,-1.0577556400000243,0,0.4109312801062255,0.9348929557608908,0.0136420999999999,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9920,16568,ZrSe2,chalcogenide,Cr,3d,adsorbate,ads0,28,2.939812344999988,6,0.005325871018688755,0.9861598006358506,0.00042625,1,,173,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9921,16569,Sn2,elemental_hydrogenated,V,3d,adsorbate,ads1,19,2.158069699999997,5,0.4125344455215423,0.8486010730128428,0.0113207,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9922,16570,ZrSe2,chalcogenide,H,main_group,interstitial,int1,28,0.5235541374999872,2,0.3171597211044439,1.167983280010788,8.06249e-05,1,1641,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9923,16571,Si2,elemental_hydrogenated,Hg,5d,interstitial,int1,19,5.177753804999994,8,0.39603459723632195,1.420015499987741,0.00192211,1,1400,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9924,16572,Si2,elemental_hydrogenated,Lu,f_block_other,adsorbate,ads1,19,0.7171078250000056,2,0.016882352549749235,1.003370317198807,0.00626563,1,,500,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9925,16575,ZrSe2,chalcogenide,Cs,main_group,adsorbate,ads2,28,-1.991676395000008,0,0.043452327312019756,0.9697674584551124,0.000516688,1,,1184,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9926,16578,ZrSe2,chalcogenide,Tc,4d,interstitial,int0,28,3.930612714999981,7,0.21417442154294974,1.3468692425764928,0.0008770669999999,1,2013,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9927,16579,W2Te4,chalcogenide,Cr,3d,adsorbate,ads0,55,3.793074325000029,7,0.0681226697814652,0.9899296820894982,5.40224e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9928,16580,W2Te4,chalcogenide,Ba,main_group,adsorbate,ads0,55,1.0906860900000344,3,0.003333919040798161,0.9707853290174308,4.86522e-06,1,,105,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9929,16582,W2Te4,chalcogenide,Pd,4d,interstitial,int4,55,1.966151214999996,4,0.4754322542379721,1.0402366797619778,0.00346149,1,1196,,,,0
