model,regime,split_id,n_seeds,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
dart,id_cv,id_cv5_f2,1,0.42543464717489365,0.8950866796888964,-0.02169989615104965,0.9679613938014464,0.9269415023125934,0.4086875590509285,0.8221511775761009,-0.007173301332842554,0.9678623025585481,0.9327900257227357
dart,id_cv,id_cv5_f3,1,0.4430353177491864,1.0676093210159807,-0.10444220808969579,0.9661423640970158,0.8925155621067038,0.441361325342108,0.9985631748859776,-0.05541244033578337,0.9679660746808776,0.9090732556735498
dart,id_cv,id_cv5_f4,1,0.3914826779480951,0.8695383245445668,-0.059036664948278195,0.9617966475277722,0.9226623599955606,0.4335401056008254,1.0345678530662574,-0.08309537191562484,0.9648483496561555,0.8990656861675321
dart,id_repeat,id_repeat_s42,1,0.3890390964680572,0.976302986299612,-0.04928253520710244,0.9711386084055822,0.916440406112877,0.39034147748226555,0.9135415979028574,-0.021174236209853713,0.9702585660376412,0.9184871682338025
dart,id_repeat,id_repeat_s43,1,0.3774573954715468,0.8723901892126842,-0.021202111554383136,0.9686370552490474,0.9223541059203557,0.3802348730660281,0.7854303275391313,3.182204685584512e-05,0.9642037451542602,0.9354921893374197
dart,id_repeat,id_repeat_s44,1,0.3495010249947465,0.7388498297419744,-0.031895214444603415,0.9731246545063158,0.9400776718177962,0.37347444701887017,0.8903461718219631,-0.03399760642372079,0.97037747900299,0.9262397103842301
dart,id_repeat,id_repeat_s45,1,0.3549156129238772,0.7371319186681828,-0.03783846798194791,0.9757684479048432,0.9517679041411882,0.382700669743077,0.8549168671192109,-0.03532078407817718,0.9775547938928615,0.9287152055284807
dart,id_repeat,id_repeat_s46,1,0.38562186925495207,0.8646813179535453,-0.06303614030779867,0.9671503957183002,0.9229058803330991,0.38316909726781956,0.8685575164082453,-0.06764785655276197,0.9675327029149045,0.9268132839876866
dart,pair_cv,pair_cv5_f0,1,0.4802346168463553,0.89934907795769,-0.02234445511660925,0.9618522108313966,0.9200983856232855,0.4424593535713734,1.0292956368894013,-0.0059506609403581785,0.9561225499402628,0.8944293546123308
dart,pair_cv,pair_cv5_f1,1,0.47443300313487063,1.0369375279857962,-0.04048074906200061,0.9602484655704328,0.8989827750285329,0.48850428007111263,0.9799572562457327,-0.06970590934580088,0.9620932652347132,0.9051334225138633
dart,pair_cv,pair_cv5_f2,1,0.42335326729198886,0.8465199745635205,0.0015684310978729377,0.9675262993004583,0.9263504189199205,0.4393855039232973,0.9284660553325578,-0.03584917051863372,0.9628004021815538,0.9190116948956714
dart,pair_cv,pair_cv5_f3,1,0.4241081142296637,0.8992496501977582,-0.050493290797199455,0.966554806262101,0.924512399791433,0.4345666024379642,0.8656207813627318,0.007572620143786,0.965105184570054,0.9229892755507039
